Accessory,Background,Clothes,Eyes,Fur,Headwear,Mouth,_id,description,edition,image,name
None,Space,Blue Armor,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48d3,SHIBOSHIS - Official Collection,1,https://shiboshis.mypinata.cloud/ipfs/QmaQALqaGG88gD8vXKKP5rNvRgSagZdAAArtYTNpPEVCLZ,#0
None,Blue,Poncho,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48d4,SHIBOSHIS - Official Collection,2,https://shiboshis.mypinata.cloud/ipfs/QmaqjZszszvqfMCoTUmgPh25K8XKGiivjoe3GRS1DD3DE9,#1
None,Green,Orange Gi,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48d5,SHIBOSHIS - Official Collection,3,https://shiboshis.mypinata.cloud/ipfs/QmY12MCTJukpjSmf8CVDqZfubzKQqG78smRbPVUYfrFjHW,#2
None,Blue,Doctor,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48d6,SHIBOSHIS - Official Collection,4,https://shiboshis.mypinata.cloud/ipfs/QmcPgzg588MXAPr9xByVyNr7sYeSLUtNxTzwNYypKcfxXi,#3
None,Purple,Rocker Vest,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48d7,SHIBOSHIS - Official Collection,5,https://shiboshis.mypinata.cloud/ipfs/QmTSCFtwR262FJztHRKbKnTu4aZkZwT282MGgPDSfgvtWV,#4
None,Red,Bat,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48d8,SHIBOSHIS - Official Collection,6,https://shiboshis.mypinata.cloud/ipfs/QmPLUaVLf9dpjnc5XPWbtCyLCuFPoopjY9LjsLfXUzLqQa,#5
None,Green,Scarf,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48d9,SHIBOSHIS - Official Collection,7,https://shiboshis.mypinata.cloud/ipfs/QmWJhWhouiwd3yZhs9xrEKqk2kjzVdxmiPiDjtMbPHeAf2,#6
None,Snowy Mountains,Blue Armor,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48da,SHIBOSHIS - Official Collection,8,https://shiboshis.mypinata.cloud/ipfs/QmVTgBwF42L8XDnmbi7dEVAo4EMyMHDKrrK4fLxS7r8cq5,#7
None,Yellow,No FUD,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48db,SHIBOSHIS - Official Collection,9,https://shiboshis.mypinata.cloud/ipfs/QmetMT2LDG4CzeEqqTLMNFz1yMq5j9U1ZxMUc6Q2v2Dbch,#8
None,Lightning,DEV,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48dc,SHIBOSHIS - Official Collection,10,https://shiboshis.mypinata.cloud/ipfs/QmNRb2DYTse3ak98vhyA4pyumXrbMvYoznTSmPCzqa8LMw,Bruce Wayne
